,count
teaching how to paint,1
great conversation,1
home improvement/ working with my hands,1
health and fitness,1
archery,1
country dance,1
country,1
i love going to the show that is movies,1
spontaneous road trips,1
horticulture,1
dog,1
sports and information,1
music and dance,1
italian,1
german,1
sand,1
texas music,1
red wine,1
like to go to mountains in summer,1
clean air,1
i would like to get to know more people - right now i favor dogs,1
film,1
shapely libras but thats not a must,1
careers,1
rock hound inventor,1
like the ocean in cooler weather,1
i enjoy camping and four wheeling,1
i love to travel,1
cinema,1
i enjoy hunting,1
backyard bbq,1
romantic dinners,1
water rivers,1
lakes,1
my son,1
park,1
computer stuff,1
stimulating conversation,1
mellow music in any genre,1
tantric massage both ways,1
comedy,1
flea markets,1
jogging,1
bicking,1
building things,1
work,1
working outside on the ranch and raising texas longhorns,1
someone who enjoys dining out,1
or listening to music,1
card games,1
local travel,1
getting in shape,1
saltwater fishing,1
genealogy,1
dine out,1
love the mornings,1
love movies,1
love bowling,1
world events,1
my interests varies,1
good communication skills and lots of fun fun personality,1
travel in the rv,1
watching old movies with someone special,1
open minded hiking,1
rock climbing,1
walking the dog,1
disk golf,1
got the picture ok,1
antiquing,1
cooking at home,1
dinning out,1
going to the beach,1
willing to relocate,1
bikes,1
erotic,1
and i will go and do things you like to do also im not just stuck in my rout,1
wood,1
listen to music,1
broadway and musuems i also like to netflix and chill,1
almost anything outdoors,1
casinos,1
projects,1
fishing is good movie is good no bars they are no so much fun when you are sober,1
cattle dogs,1
hill country,1
working on my land when i am able watching ncis los anglas,1
riding harley,1
swimming and many other interest,1
my dog,1
environmental issues,1
leather,1
strong friendahip,1
kayakin,1
everything around water,1
healthy lifestyle,1
hanging out with friends,1
fun comedy club,1
spending time in nature,1
jesus,1
dancing country music,1
great local restaurants,1
live music venues,1
amor,1
cariño y mucho placer,1
don’t worry,1
be happy,1
blue water sailing,1
weights/exercise,1
god first,1
fireplaces,1
old rnb,1
blues,1
car,1
firepits,1
broadway shows,1
too many to list theater,1
live performances,1
star gazing,1
play softball,1
men’s bible study group,1
outside activities,1
andalusian horses,1
tantric secrets,1
collectibles,1
trucks,1
open minded,1
gaming,1
witty women,1
not beachy witty women,1
hunting deer,1
hogs,1
outdoorsi,1
i plunk around on guitar,1
cycles,1
idpa,1
exploration,1
exploring parks,1
character driven movies,1
roamantic candlelight dinners,1
12-steps,1
good conversation,1
netflix,1
amazon prime,1
meditation,1
romantic comedies,1
very affectionate,1
smoking meats,1
dark beers,1
red wines,1
friends first gal,1
and good deals,1
my interests include reading,1
autographs,1
being outdoors in general,1
nightlife on the weekends,1
hiking/swimming the greenbelt,1
professional,1
thoughtful,1
sweet and caring,1
sunshine,1
soul music,1
moonshine,1
smiles,1
workouts,1
live events,1
vegetable garden,1
playing soccer,1
romantic evenings,1
coffee or meet for drinks,1
reading books of john grisham,1
campfires,1
jazz,1
country/ western,1
contry drives on weekends,1
live country music venues,1
country dancing bbq movies,1
vino,1
listening and dancing to live music,1
lunch,1
taking long walks,1
an occasional movie,1
camping and fishing,1
harlys,1
jetski,1
kids,1
dinning,1
music festivals,1
disc golf,1
trail walking,1
poetry,1
fixer upper,1
i love everything life has to offer i love nature,1
rainy days,1
sunny days,1
investment opportunities,1
others,1
npr,1
drumming,1
inside/outside activities-golf,1
swimming/tubing/boating,1
birding,1
grandchildren,1
stimulating dialog,1
tropical beaches,1
hot rods,1
rockabilly,1
dancer,1
adventurest,1
takin it atrás,1
frienship,1
long term dating,1
history especially the america old west old towns and quaint dinners in the country,1
walking vacations history bowling movies antiques,1
living life with a woman who is trusting,1
cuddling,1
target shooting,1
fast cars,1
a quiet little place for wine,1
music and people watching,1
masks,1
beach/swimming,1
general culturehistorycine,1
ballet,1
fishing will try anything once somethings twice some things i never give up,1
auctions,1
road walk,1
seaside,1
criminal minds,1
good music,1
good film,1
bass fishing,1
anything to do with water,1
boats,1
the theatre,1
candle light dinners,1
deep intelligent conversation,1
humor,1
walking dead,1
fleamarkets,1
i can usually learn new tricks,1
changes w the season but im fairly flexible for the right woman,1
eating out,1
sup and quiet nights watching a sunset and the stars,1
nascar,1
music and traveling,1
have traveled to so many countries and 80% of the people in this world are wonderful,1
hiking in the hill country,1
lightning,1
dancng,1
walking at the park,1
creating things,1
remodeling houses,1
love working with my hands,1
weather,1
james patterson,1
restoring corvettes,1
relationship that is honest,1
sea cruising,1
water things,1
the water both fresh and saltwater,1
birdwatching,1
cats,1
wimmin,1
music/concerts,1
varied,1
old rock,1
home projects,1
county,1
business,1
sand volleyball,1
excercise,1
thrift store shopping volunteer,1
warm weather,1
cw dancing,1
travel as much as i can life is too short i enjoy amusement parks,1
and caring woman,1
honest,1
nutrition,1
